# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 66K of event 'cycles:P'
# Event count (approx.): 62401597400
#
# Overhead  Command          Shared Object                                        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ...................................................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  python           libpython3.10.so.1.0                                 [.] _PyLong_FromGid@plt
     0.00%  python           [unknown]                                            [k] 0xffffffff8f4e3c4d
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fada1
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000322ad2
     0.00%  python           libtensorflow_framework.so.2                         [.] google::protobuf::EncodedDescriptorDatabase::DescriptorIndex::AddSymbol(google::protobuf::stringpiece_internal::StringPiece)
     0.00%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8e42ced7
     0.00%  python           libpython3.10.so.1.0                                 [.] _io_FileIO___init__
     0.00%  python           libpython3.10.so.1.0                                 [.] _PyManagedBuffer_FromObject
     0.00%  mediapipe/39547  [unknown]                                            [k] 0xffffffff8e3da0eb
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7642aa
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000085c0e3
     0.00%  python           libpython3.10.so.1.0                                 [.] PySequence_GetSlice
     0.00%  mediapipe/39548  [unknown]                                            [k] 0xffffffff8e2ec48b
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327dab
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002ffaff
     0.00%  python           [unknown]                                            [k] 0xffffffff8e4aa289
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fc918
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000008468d7
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f8c65
     0.00%  mediapipe/39541  [unknown]                                            [k] 0xffffffff8e3df009
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6ecdb5
     0.00%  python           [unknown]                                            [k] 0xffffffff8e728767
     0.00%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffff8f4d75e7
     0.00%  python           [unknown]                                            [k] 0xffffffff8f4bb631
     0.00%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffffc17d28a9
     0.00%  python           _message.abi3.so                                     [.] _upb_FieldDef_Create
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7da487
     0.00%  python           libpython3.10.so.1.0                                 [.] PyCallable_Check
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000008559ff
     0.00%  python           libc.so.6                                            [.] __strncpy_avx2
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000085cbac
     0.00%  python           libpython3.10.so.1.0                                 [.] PyGen_NewWithQualName
     0.00%  python           libavformat-d296e685.so.59.27.100                    [.] avio_rb16
     0.00%  mediapipe/39544  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::api2::FromOldPacket(mediapipe::Packet const&)
     0.00%  mediapipe/39534  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_xx_pad_ukernel_p16__sse2_u16
     0.00%  python           libarrow_compute.so.2200                             [.] arrow::compute::InputType::~InputType()
     0.00%  mediapipe_gl_ru  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] std::_Function_base::_Base_manager<mediapipe::Executor::AddTask(mediapipe::TaskQueue*)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7dc1eb
     0.00%  python           [unknown]                                            [k] 0xffffffff8e74de69
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6ee7d8
     0.00%  python           libpython3.10.so.1.0                                 [.] translate_newlines
     0.00%  python           [unknown]                                            [k] 0xffffffff8f4f298a
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084c0bf
     0.00%  python           [unknown]                                            [k] 0xffffffff8ea43977
     0.00%  mediapipe/39530  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] pthreadpool_parallelize_2d_with_thread
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000085cc04
     0.00%  python           libQt5Core-e7f476e2.so.5.15.16                       [.] 0x0000000000369b69
     0.00%  python           _multiarray_umath.cpython-310-x86_64-linux-gnu.so    [.] PyArray_GetCastInfo
     0.00%  python           libpython3.10.so.1.0                                 [.] filter_dealloc
     0.00%  python           [unknown]                                            [k] 0xffffffffc13f79f2
     0.00%  mediapipe_gl_ru  libEGL_nvidia.so.580.65.06                           [.] 0x00000000000592f0
     0.00%  python           libpython3.10.so.1.0                                 [.] PyTraceBack_Here
     0.00%  python           [unknown]                                            [k] 0xffffffff8e3f55c6
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7dd983
     0.00%  python           libpython3.10.so.1.0                                 [.] _io_FileIO_readall_impl
     0.00%  python           _pywrap_python_api_dispatcher.so                     [.] pybind11::detail::instance::get_value_and_holder(pybind11::detail::type_info const*, bool)
     0.00%  mediapipe/39543  [unknown]                                            [k] 0xffffffff8e7a2fc3
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000846a08
     0.00%  mediapipe/39524  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_xx_pad_ukernel_p16__sse2_u16
     0.00%  python           cv2.abi3.so                                          [.] 0x0000000001036577
     0.00%  mediapipe_gl_ru  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::api2::FromOldPacket(mediapipe::Packet const&)
     0.00%  mediapipe/39542  [unknown]                                            [k] 0xffffffff8e4eb985
     0.00%  mediapipe/39526  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::DefaultInputStreamHandler::GetNodeReadiness(mediapipe::Timestamp*)
     0.00%  python           cv2.abi3.so                                          [.] 0x000000000260496f
     0.00%  python           libpython3.10.so.1.0                                 [.] _io_FileIO_readable
     0.00%  python           [unknown]                                            [k] 0xffffffff8e2ebf41
     0.00%  mediapipe/39532  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::InputStreamHandler::SetNextTimestampBound(mediapipe::CollectionItemId, mediapipe::Timestamp)
     0.00%  mediapipe/39524  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::DefaultInputStreamHandler::FillInputSet(mediapipe::Timestamp, mediapipe::internal::Collection<mediapipe::InputStreamShard, (mediapipe::internal::CollectionStorage)0, mediapipe::internal::CollectionErrorHandlerFatal<mediapipe::InputStreamShard> >*)
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6eb6fb
     0.00%  python           [unknown]                                            [k] 0xffffffff8e836a66
     0.00%  mediapipe/39542  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::Timestamp::PreviousAllowedInStream() const
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000316307
     0.00%  python           libpython3.10.so.1.0                                 [.] compiler_nameop
     0.00%  python           libQt5Widgets-cd430389.so.5.15.16                    [.] QtOpenCVPython::QString::operator=(QtOpenCVPython::QLatin1String)@plt
     0.00%  python           [unknown]                                            [k] 0xffffffff8f4ebc51
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6eeb29
     0.00%  python           libpython3.10.so.1.0                                 [.] FieldNameIterator_next
     0.00%  python           [unknown]                                            [k] 0xffffffff8e390d4e
     0.00%  python           libpng16-ef62451c.so.16.44.0                         [.] png_do_bgr
     0.00%  python           libasound.so.2.0.0                                   [.] 0x000000000004a7d0
     0.00%  mediapipe/39533  [unknown]                                            [k] 0xffffffff8e664ae8
     0.00%  python           libQt5Widgets-cd430389.so.5.15.16                    [.] QtOpenCVPython::QRegion::QRegion(QtOpenCVPython::QRegion const&)@plt
     0.00%  python           libpython3.10.so.1.0                                 [.] wrap_binaryfunc
     0.00%  python           [unknown]                                            [k] 0xffffffff8e47c10e
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084ce1c
     0.00%  mediapipe/39535  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] pthreadpool_parallelize_2d_tile_2d
     0.00%  mediapipe/39532  [unknown]                                            [k] 0xffffffff8e2ec48b
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7b73b3
     0.00%  python           [unknown]                                            [k] 0xffffffff8e9ced52
     0.00%  python           [unknown]                                            [k] 0xffffffff8eddb358
     0.00%  mediapipe/39542  [unknown]                                            [k] 0xffffffff8e001248
     0.00%  python           libpython3.10.so.1.0                                 [.] unicode_compare
     0.00%  python           [unknown]                                            [k] 0xffffffff8e8c7005
     0.00%  python           [unknown]                                            [k] 0xffffffff8f4e3c7e
     0.00%  mediapipe_gl_ru  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] absl::synchronization_internal::FutexWaiter::WaitUntil(std::atomic<int>*, int, absl::synchronization_internal::KernelTimeout)
     0.00%  python           libpython3.10.so.1.0                                 [.] PyThread_free_lock
     0.00%  python           cv2.abi3.so                                          [.] 0x00000000010014ea
     0.00%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffff8f4e37e1
     0.00%  mediapipe/39544  libc.so.6                                            [.] malloc_consolidate
     0.00%  mediapipe/39542  [unknown]                                            [k] 0xffffffff8e6f2a58
     0.00%  python           libX11.so.6.4.0                                      [.] XFlush
     0.00%  mediapipe/39542  [unknown]                                            [k] 0xffffffff8e6f4416
     0.00%  python           cv2.abi3.so                                          [.] 0x0000000001b46772
     0.00%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8e728896
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000316391
     0.00%  mediapipe/39530  [unknown]                                            [k] 0xffffffff8e3da2ba
     0.00%  mediapipe/39544  [unknown]                                            [k] 0xffffffff8e4eaeaa
     0.00%  python           _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] google::protobuf::io::StringOutputStream::Next(void**, int*)
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fc1e0
     0.00%  python           libpython3.10.so.1.0                                 [.] lo0bits
     0.00%  python           cv2.abi3.so                                          [.] 0x00000000026668d8
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f9e77
     0.00%  python           libavutil-734d06dd.so.57.28.100                      [.] av_log
     0.00%  python           libpython3.10.so.1.0                                 [.] PyFrame_GetLineNumber@plt
     0.00%  python           [unknown]                                            [k] 0xffffffff8e35682b
     0.00%  mediapipe/39543  [unknown]                                            [k] 0xffffffff8e6ea111
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6ebc31
     0.00%  python           [unknown]                                            [k] 0xffffffff8e682e20
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084cdb5
     0.00%  mediapipe/39535  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] absl::Status mediapipe::OutputStreamShard::AddPacketInternal<mediapipe::Packet>(mediapipe::Packet&&)
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fd3bb
     0.00%  python           _message.abi3.so                                     [.] upb_MessageDef_MiniTable
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7dbe2e
     0.00%  python           _multiarray_umath.cpython-310-x86_64-linux-gnu.so    [.] PyArray_AssignArray
     0.00%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8e6f2716
     0.00%  mediapipe/39527  [unknown]                                            [k] 0xffffffff8e6e4a08
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d01f
     0.00%  mediapipe/39524  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] std::pair<std::__detail::_Node_iterator<std::pair<_typeobject* const, std::vector<pybind11::detail::type_info*, std::allocator<pybind11::detail::type_info*> > >, false, false>, bool> std::unordered_map<_typeobject*, std::vector<pybind11::detail::type_info*, std::allocator<pybind11::detail::type_info*> >, std::hash<_typeobject*>, std::equal_to<_typeobject*>, std::allocator<std::pair<_typeobject* const, std::vector<pybind11::detail::type_info*, std::allocator<pybind11::detail::type_info*> > > > >::try_emplace<>(_typeobject* const&)
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7d57ec
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7a1302
     0.00%  python           [unknown]                                            [k] 0xffffffff8e5bb1a0
     0.00%  python           [unknown]                                            [k] 0xffffffff8e73725b
     0.00%  mediapipe/39548  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_compute_dwconv_unipass
     0.00%  python           cv2.abi3.so                                          [.] 0x0000000000a546a5
     0.00%  python           [unknown]                                            [k] 0xffffffff8e706a8c
     0.00%  python           [unknown]                                            [k] 0xffffffff8e684486
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002ffbb2
     0.00%  mediapipe/39531  libm.so.6                                            [.] __cosf_fma
     0.00%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffff8e6f4516
     0.00%  python           [unknown]                                            [k] 0xffffffff8e32ffbc
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7130
     0.00%  python           [unknown]                                            [k] 0xffffffff8e3565fc
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7a15b1
     0.00%  python           xla_extension.so                                     [.] llvm::cl::opt<bool, false, llvm::cl::parser<bool> >::opt<char [16], llvm::cl::OptionHidden, llvm::cl::desc>(char const (&) [16], llvm::cl::OptionHidden const&, llvm::cl::desc const&)
     0.00%  mediapipe/39527  [unknown]                                            [k] 0xffffffff8ebfa99e
     0.00%  python           _image.cpython-310-x86_64-linux-gnu.so               [.] pybind11::cpp_function::initialize_generic(std::unique_ptr<pybind11::detail::function_record, pybind11::cpp_function::InitializingFunctionRecordDeleter>&&, char const*, std::type_info const* const*, unsigned long)
     0.00%  python           libpython3.10.so.1.0                                 [.] _PyObject_IsAbstract
     0.00%  mediapipe/39543  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::NormalizedLandmarkList::NormalizedLandmarkList(google::protobuf::Arena*, bool)
     0.00%  mediapipe/39548  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::SwitchDemuxCalculator::SendActivePackets(mediapipe::CalculatorContext*)
     0.00%  python           libpython3.10.so.1.0                                 [.] object_recursive_isinstance
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7dcbbe
     0.00%  mediapipe/39535  [unknown]                                            [k] 0xffffffff8e662091
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7a2f60
     0.00%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8e6ea104
     0.00%  python           libpython3.10.so.1.0                                 [.] method_vectorcall_VARARGS_KEYWORDS
     0.00%  python           [unknown]                                            [k] 0xffffffff8e72441a
     0.00%  mediapipe/39531  [unknown]                                            [k] 0xffffffff8e7a0db6
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7cd5d5
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fee08
     0.00%  mediapipe/39547  libc.so.6                                            [.] malloc
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000321c3a
     0.00%  python           [unknown]                                            [k] 0xffffffff8e68442a
     0.00%  mediapipe/39538  [unknown]                                            [k] 0xffffffff8e3fec1c
     0.00%  python           [unknown]                                            [k] 0xffffffff8eb30736
     0.00%  mediapipe/39533  [unknown]                                            [k] 0xffffffff8f4f366c
     0.00%  mediapipe/39532  [unknown]                                            [k] 0xffffffff8e4ae209
     0.00%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffffc12bee21
     0.00%  python           libasound.so.2.0.0                                   [.] 0x00000000000a0200
     0.00%  python           [unknown]                                            [k] 0xffffffff8e766af6
     0.00%  python           libpython3.10.so.1.0                                 [.] cm_traverse
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f865b
     0.00%  python           [unknown]                                            [k] 0xffffffff8e73a966
     0.00%  python           libpython3.10.so.1.0                                 [.] t_primary_rule
     0.00%  python           [unknown]                                            [k] 0xffffffff8e32ede0
     0.00%  python           libQt5Gui-1ce8cbfe.so.5.15.16                        [.] 0x00000000003a3310
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084bd32
     0.00%  python           libasound.so.2.0.0                                   [.] 0x00000000000a0146
     0.00%  python           libpython3.10.so.1.0                                 [.] builtin_setattr
     0.00%  python           _multiarray_umath.cpython-310-x86_64-linux-gnu.so    [.] PyDataMem_UserNEW
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f8c53
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000005c1c37
     0.00%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffff8e3e7be2
     0.00%  python           libpython3.10.so.1.0                                 [.] _PyList_Extend
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6f4a27
     0.00%  python           [unknown]                                            [k] 0xffffffff8e47ad64
     0.00%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffffc0d1e30b
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084c07f
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6f4a0c
     0.00%  python           cv2.abi3.so                                          [.] 0x00000000026665d1
     0.00%  python           cv2.abi3.so                                          [.] 0x0000000001b46991
     0.00%  mediapipe_gl_ru  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] absl::Mutex::Unlock()
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f8ca0
     0.00%  python           libpython3.10.so.1.0                                 [.] _PyObject_CallMethodId_SizeT
     0.00%  mediapipe/39528  [unknown]                                            [k] 0xffffffff8e3eee47
     0.00%  mediapipe/39540  [unknown]                                            [k] 0xffffffff8e6f43f5
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6f421a
     0.00%  python           [unknown]                                            [k] 0xffffffffc17ce7d8
     0.00%  mediapipe/39548  [unknown]                                            [k] 0xffffffff8e3ee03d
     0.00%  python           [unknown]                                            [k] 0xffffffff8e8cbb2e
     0.00%  python           [unknown]                                            [k] 0xffffffff8e42f805
     0.00%  python           [unknown]                                            [k] 0xffffffff8e417a10
     0.00%  python           [unknown]                                            [k] 0xffffffffc0c4482a
     0.00%  python           _message.abi3.so                                     [.] PyUpb_UpbToPy
     0.00%  python           cv2.abi3.so                                          [.] 0x0000000001b4829f
     0.00%  python           [unknown]                                            [k] 0xffffffff8e72872f
     0.00%  python           [unknown]                                            [k] 0xffffffff8e4ff8d0
     0.00%  python           cv2.abi3.so                                          [.] 0x0000000000afe3bc
     0.00%  python           cv2.abi3.so                                          [.] 0x0000000000b52a2e
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6f4344
     0.00%  python           libtensorflow_cc.so.2                                [.] __cxx_global_array_dtor
     0.00%  mediapipe_gl_ru  libm.so.6                                            [.] __cos_fma
     0.00%  mediapipe/39527  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] std::pair<std::__detail::_Node_iterator<std::pair<_typeobject* const, std::vector<pybind11::detail::type_info*, std::allocator<pybind11::detail::type_info*> > >, false, false>, bool> std::unordered_map<_typeobject*, std::vector<pybind11::detail::type_info*, std::allocator<pybind11::detail::type_info*> >, std::hash<_typeobject*>, std::equal_to<_typeobject*>, std::allocator<std::pair<_typeobject* const, std::vector<pybind11::detail::type_info*, std::allocator<pybind11::detail::type_info*> > > > >::try_emplace<>(_typeobject* const&)
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7db7fa
     0.00%  python           libc.so.6                                            [.] __stpcpy_avx2
     0.00%  python           [unknown]                                            [k] 0xffffffff8e28491c
     0.00%  python           [unknown]                                            [k] 0xffffffff8e727229
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000008469ad
     0.00%  python           cv2.abi3.so                                          [.] 0x0000000001036480
     0.00%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffffc0fb7c87
     0.00%  mediapipe/39546  [unknown]                                            [k] 0xffffffff8e4ae2aa
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000848602
     0.00%  mediapipe/39546  [unknown]                                            [k] 0xffffffff8e3ef64d
     0.00%  mediapipe/39543  [unknown]                                            [k] 0xffffffff8e767413
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7dbdd6
     0.00%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8e3fdad2
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000030fe4b
     0.00%  mediapipe/39528  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] void std::vector<mediapipe::LandmarkList, std::allocator<mediapipe::LandmarkList> >::_M_realloc_insert<mediapipe::LandmarkList const&>(__gnu_cxx::__normal_iterator<mediapipe::LandmarkList*, std::vector<mediapipe::LandmarkList, std::allocator<mediapipe::LandmarkList> > >, mediapipe::LandmarkList const&)
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084ce42
     0.00%  python           [unknown]                                            [k] 0xffffffff8e799a62
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6e5bcc
     0.00%  mediapipe/39549  [unknown]                                            [k] 0xffffffff8e3dcb10
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000085db37
     0.00%  python           cv2.abi3.so                                          [.] 0x0000000001b46909
     0.00%  python           [unknown]                                            [k] 0xffffffff8e47c087
     0.00%  python           libQt5Gui-1ce8cbfe.so.5.15.16                        [.] 0x000000000045ccde
     0.00%  mediapipe_gl_ru  libstdc++.so.6.0.33                                  [.] operator delete(void*)
     0.00%  mediapipe/39529  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::internal::OutputStreamObserver::Notify()
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000846abd
     0.00%  python           [unknown]                                            [k] 0xffffffff8e4a97bd
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fe75d
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d42a
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fb96f
     0.00%  python           [unknown]                                            [k] 0xffffffff8f4e39b8
     0.00%  python           _multiarray_umath.cpython-310-x86_64-linux-gnu.so    [.] arraydescr_dealloc
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f93b8
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7cd4d3
     0.00%  python           libpython3.10.so.1.0                                 [.] _PyUnicode_XStrip@plt
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7671e5
     0.00%  python           [unknown]                                            [k] 0xffffffff8e798bdb
     0.00%  python           [unknown]                                            [k] 0xffffffff8f4d4944
     0.00%  python           libpython3.10.so.1.0                                 [.] new_dict
     0.00%  python           libpython3.10.so.1.0                                 [.] tuplegetter_new
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fbe6b
     0.00%  python           [unknown]                                            [k] 0xffffffff8f4e33a6
     0.00%  python           [unknown]                                            [k] 0xffffffff8e3f61b5
     0.00%  python           [unknown]                                            [k] 0xffffffff8e76412d
     0.00%  python           [unknown]                                            [k] 0xffffffff8e9cece9
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fab68
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084bf70
     0.00%  python           libtensorflow_framework.so.2                         [.] tensorflow::KernelDefBuilder::TypeConstraint(char const*, tensorflow::DataType)
     0.00%  python           xla_extension.so                                     [.] PyCallable_Check@plt
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000035fab8
     0.00%  python           [unknown]                                            [k] 0xffffffff8e8b8220
     0.00%  mediapipe/39543  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::OutputStreamShard::IsClosed() const
     0.00%  mediapipe/39548  [unknown]                                            [k] 0xffffffff8e104109
     0.00%  mediapipe/39542  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] create_convolution2d_nhwc
     0.00%  mediapipe/39532  [unknown]                                            [k] 0xffffffff8e5bb1dc
     0.00%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8e693738
     0.00%  python           [unknown]                                            [k] 0xffffffff8e34bb7f
     0.00%  python           libpython3.10.so.1.0                                 [.] PyNumber_And@plt
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000085c962
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084bdcd
     0.00%  mediapipe/39532  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] absl::Mutex::~Mutex()
     0.00%  python           libtensorflow_framework.so.2                         [.] tsl::str_util::RemoveLeadingWhitespace(std::basic_string_view<char, std::char_traits<char> >*)
     0.00%  python           libpython3.10.so.1.0                                 [.] _PyPegen_Parser_Free
     0.00%  mediapipe/39540  libc.so.6                                            [.] _int_free
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fc755
     0.00%  python           _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] std::function<void ()>& std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::emplace_back<std::function<void ()> >(std::function<void ()>&&)
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000085c94d
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000855a50
     0.00%  python           [unknown]                                            [k] 0xffffffff8f4b633a
     0.00%  python           [unknown]                                            [k] 0xffffffff8e7c0706
     0.00%  python           libQt5Widgets-cd430389.so.5.15.16                    [.] 0x00000000001a1efb
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327ac9
     0.00%  mediapipe/39538  [unknown]                                            [k] 0xffffffff8e4a9745
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fcc3e
     0.00%  mediapipe/39531  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::InputStreamHandler::FinalizeInputSet(mediapipe::Timestamp, mediapipe::internal::Collection<mediapipe::InputStreamShard, (mediapipe::internal::CollectionStorage)0, mediapipe::internal::CollectionErrorHandlerFatal<mediapipe::InputStreamShard> >*)
     0.00%  mediapipe/39531  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_invoke_runtime
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fc2a4
     0.00%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8f4ea1f0
     0.00%  python           [unknown]                                            [k] 0xffffffff8e284bdd
     0.00%  python           [unknown]                                            [k] 0xffffffff8e4e94d5
     0.00%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8e79f1ed
     0.00%  mediapipe/39531  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] pthreadpool_parallelize_1d_tile_1d
     0.00%  python           [unknown]                                            [k] 0xffffffff8e6ee1b7
     0.00%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033ee2b
     0.00%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8e3fdc4f
